,001_08,002_08,003_08,004_08,005_08,006_08,007_08,019_14,020_14,021_14,022_14,023_14,024_14,025_14,026_14,027_14,028_14,076_13,077_13,078_13,079_13,080_13,081_13,082_13,083_13,084_13,085_13,086_13,087_13,089_13,090_13,091_13,092_13,093_13,094_13,095_13,096_13,097_13,098_13,099_13,100_13,102_13,103_13,104_13,105_13,106_13,236_14,237_14,238_14,239_14,240_14,241_14,242_14,243_14,244_14,245_14,246_14,247_14,248_14,249_14,250_14,251_14,252_14,253_14,254_14,255_14,256_14,257_14,258_14,259_14,260_14,261_14,262_14,263_14,264_14,265_14,266_14,267_14,268_14
077_13,0.295996726,-0.221560195,0.640985787,-0.153029084,-0.25521484,-0.565360248,-0.238984734,-0.356753975,0.451241344,-0.40530777,0.214684114,0.454481423,0.48792994,0.430565149,0.197899327,0.719845235,0.45879975,0.69818902,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078_13,-0.595266163,0.057882059,0.234162271,0.257908821,-0.221336216,0.036851019,0.597117424,0.110179394,-0.525166512,-0.608209968,0.383637011,0.03398516,0.118917026,-0.303178042,0.568774998,0.633358955,0.478715092,0.281083703,0.230260581,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
079_13,0.038980961,0.358828366,0.519126654,-0.132630721,-0.067956209,0.015754417,-0.125530183,-0.272470087,-0.010125805,-0.200337663,0.093321629,0.248970509,0.289263248,0.07094419,0.169541061,0.899209023,0.617760122,0.515833616,0.774687707,0.517489851,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080_13,-0.343481392,-0.172081694,0.453571558,0.163456455,-0.156119868,0.092750736,0.344446868,0.330943584,-0.06886293,-0.515043795,0.564162076,0.080568261,0.332400084,0.051976539,0.269757837,0.127287701,0.328069657,0.457589656,0.281713575,0.448661089,0.266574115,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
081_13,-0.02444409,-0.050641306,0.170169711,0.10441041,-0.007792927,-0.206049412,0.112194248,0.271897554,-0.184216112,-0.253733426,-0.173334092,0.120237857,0.355828047,-0.161052108,0.462147444,0.248185128,0.3116633,0.165561542,0.158914343,0.022055775,0.123102069,0.068638876,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082_13,-0.576665342,0.322027951,0.23554045,0.150663942,-0.264784992,0.103054017,0.177564994,-0.107154965,-0.511271477,-0.283948749,0.093643889,0.303441465,0.152707621,-0.289365262,0.079702675,0.613703728,0.269085586,-0.000871063,-0.068478256,0.389677018,0.528651178,0.114892401,0.165000603,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
083_13,0.052755922,0.026558707,-0.314916939,0.273683667,-0.303284943,-0.273684055,0.011833113,-0.021424243,-0.347563356,0.261915773,0.125874072,-0.19999209,-0.067003548,-0.285182506,-0.019138241,-0.239647254,0.008950005,-0.399147928,-0.333072066,-0.042310849,-0.330968082,-0.253478557,-0.003244165,-0.307421625,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084_13,0.277538717,-0.046472084,0.383199364,-0.183199972,0.285864294,-0.024327248,-0.165611848,-0.344014496,-0.175944969,-0.261394501,-0.044500843,0.143769786,0.01456288,-0.171553001,0.532332599,0.757069349,0.380252749,0.778558671,0.614581943,0.379925728,0.625459909,0.257955194,0.311264664,0.198971108,-0.402512491,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
085_13,-0.886865258,-0.216817871,-0.802969992,0.29722926,-0.405115664,-0.348929703,0.496033639,0.302633435,-0.096061341,-0.334641784,-0.306393713,-0.476440907,-0.468719721,-0.096061341,-0.312306881,-0.617571652,-0.287917405,-0.685762882,-0.772172272,-0.301811546,-0.617571652,-0.121834129,-0.135793,-0.532587409,-0.398070961,-0.617571652,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086_13,0.250980288,0.165459573,-0.250411063,-0.173155576,0.524489284,0.083383478,-0.057901122,-0.236013919,-0.646851182,-0.035942025,-0.292744786,0.037245121,-0.409599394,-0.382810444,0.278733969,0.363013685,0.081511989,0.083198495,-0.139956698,-0.112045079,0.059178915,-0.337159634,0.22190401,0.188980624,-0.19493407,0.466663957,-0.561699867,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
