001_08,002_08,0.137
001_08,003_08,0.122
002_08,003_08,0.066
001_08,004_08,-0.555
002_08,004_08,-0.051
003_08,004_08,-0.014
001_08,005_08,0.048
002_08,005_08,0.022
003_08,005_08,-0.383
004_08,005_08,-0.280
001_08,006_08,-0.398
002_08,006_08,0.400
003_08,006_08,-0.144
004_08,006_08,-0.110
005_08,006_08,0.670
001_08,007_08,-0.507
002_08,007_08,-0.036
003_08,007_08,0.044
004_08,007_08,0.206
005_08,007_08,0.129
006_08,007_08,0.370
001_08,019_14,-0.428
002_08,019_14,0.050
003_08,019_14,-0.225
004_08,019_14,0.000
005_08,019_14,-0.400
006_08,019_14,-0.215
007_08,019_14,0.529
001_08,020_14,-0.040
002_08,020_14,-0.652
003_08,020_14,0.206
004_08,020_14,-0.160
005_08,020_14,-0.520
006_08,020_14,-0.852
007_08,020_14,-0.244
019_14,020_14,-0.393
001_08,021_14,0.130
002_08,021_14,-0.127
003_08,021_14,-0.592
004_08,021_14,-0.374
005_08,021_14,-0.138
006_08,021_14,-0.410
007_08,021_14,-0.235
019_14,021_14,-0.406
020_14,021_14,0.110
001_08,022_14,-0.299
002_08,022_14,-0.150
003_08,022_14,0.389
004_08,022_14,0.142
005_08,022_14,-0.277
006_08,022_14,-0.068
007_08,022_14,0.279
019_14,022_14,0.167
020_14,022_14,0.211
021_14,022_14,-0.297
001_08,023_14,-0.021
002_08,023_14,-0.152
003_08,023_14,0.191
004_08,023_14,0.215
005_08,023_14,-0.136
006_08,023_14,-0.370
007_08,023_14,0.035
019_14,023_14,-0.110
020_14,023_14,0.531
021_14,023_14,0.195
022_14,023_14,0.178
001_08,024_14,-0.123
002_08,024_14,0.012
003_08,024_14,0.651
004_08,024_14,0.325
005_08,024_14,-0.576
006_08,024_14,-0.389
007_08,024_14,0.120
019_14,024_14,0.054
020_14,024_14,0.292
021_14,024_14,-0.439
022_14,024_14,0.434
023_14,024_14,0.385
001_08,025_14,-0.043
002_08,025_14,-0.352
003_08,025_14,0.302
004_08,025_14,-0.357
005_08,025_14,-0.154
006_08,025_14,-0.256
007_08,025_14,0.050
